mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,pitch_mean,pitch_std,f1_mean,f2_mean,f3_mean,filename,label
-134.42795,114.354576,-13.819464,31.798847,0.47914848,-10.455823,-13.727076,-29.941748,-19.479649,0.11051407,-13.512268,3.1654723,-15.365469,134.8279708959836,84.29345330816685,907.2303786171005,1983.1560894437016,2988.539993791937,03-01-01-01-01-01-01.wav,neutral
-155.63342,104.489876,-9.1539135,35.398403,-1.7801237,-9.343889,-14.313225,-29.996695,-15.99798,0.9265483,-12.3928385,1.0517881,-16.181673,129.35172722040474,57.683370774501334,933.07007096882,1984.6611120356552,3019.766314795841,03-01-01-01-01-02-01.wav,neutral
-156.0184,107.87068,-5.857292,28.316214,-5.3007307,-4.3805466,-17.69721,-27.712086,-21.200947,0.23963384,-12.03945,4.2053213,-15.931654,127.33178745889145,61.99885125021548,943.2242838273312,1983.7024787562912,3050.2689114184436,03-01-01-01-02-01-01.wav,neutral
-167.95067,102.615906,-0.55612034,29.056,-0.87180984,-1.7269074,-20.79818,-26.50353,-18.231178,1.1347476,-10.732768,-0.78389347,-15.475898,115.15790486567971,14.11382852845796,936.1920269226059,1947.6231699347882,3009.16561665665,03-01-01-01-02-02-01.wav,neutral
-145.90636,108.10453,0.7547921,29.923216,2.7229455,-5.4764147,-14.303703,-19.719933,-20.347515,1.8830612,-12.025671,3.2382178,-13.98022,125.98787353001018,50.19159744025578,919.9568535674905,1963.3479939834674,3013.859569153077,03-01-02-01-01-01-01.wav,calm
-175.30057,118.96541,-2.875773,25.608877,6.3401437,-6.3430185,-15.365435,-16.557257,-17.34106,3.32906,-8.795076,0.629053,-12.313828,112.44914627499985,20.665762329323186,867.8168019669737,1906.547185727108,2939.595073830478,03-01-02-01-01-02-01.wav,calm
-150.5875,107.691055,-6.2404504,24.854153,-2.0817049,-0.60220814,-13.684921,-19.892128,-18.919077,1.8100804,-6.2754407,0.992802,-13.606204,110.87818555109854,16.525996085643293,890.0720220541963,1937.2213392070269,3001.066485461794,03-01-02-01-02-01-01.wav,calm
-160.32706,116.44779,-7.971758,26.92041,-0.6856629,-1.4796942,-17.147484,-20.850088,-18.273272,-0.23300926,-6.5870223,1.8460311,-13.526427,107.13690501175495,11.87797002122507,890.9002249520111,1909.4299443718346,2980.5470942649836,03-01-02-01-02-02-01.wav,calm
-148.52855,115.85018,1.3626431,27.556885,3.828945,-5.5903997,-13.431987,-11.949899,-18.232515,2.4216666,-4.10253,-1.0869272,-10.740553,108.01578401495404,38.9147382794523,851.025751249211,1884.1931162070402,2907.7846114136037,03-01-02-02-01-01-01.wav,calm
-162.28314,105.93702,-2.5614843,23.268139,1.3591174,-3.6406608,-15.343306,-13.768396,-16.018772,3.7334812,-5.646915,-2.1094923,-11.3504715,106.64057414192561,21.162144051819787,906.3557288279313,1939.9520334158144,2970.833764784622,03-01-02-02-01-02-01.wav,calm
