pitch_mean,mfcc8_mean,f1_mean,mfcc2_mean,hnr,flatness_mean,mfcc1_mean,pitch_std,mfcc_delta7_mean,contrast3_mean,mfcc_delta2_12_mean,mfcc12_mean,rms_mean,mfcc5_mean,mfcc10_mean,mfcc7_mean,contrast4_std,mfcc_delta2_6_mean,f2_mean,mfcc_delta4_mean,mfcc6_mean,mfcc_delta2_3_mean,mfcc_delta2_7_mean,mfcc_delta2_9_mean,zcr_mean,mfcc_delta2_13_mean,mfcc4_mean,shimmer,contrast1_mean,contrast6_std,contrast6_mean,jitter,mfcc_delta8_mean,rms_std,zcr_std,contrast2_mean,mfcc_delta9_mean,contrast3_std,contrast1_std,label,filename
219.8189326673059,2.9727688,804.7950686950732,114.83024,13.36469965527228,0.002592852,-259.2104,129.19287194218992,-0.3404386,21.402892382106486,0.08719531,-3.123206,0.15210795,0.9570989,-5.3344893,-23.465052,5.032070440324463,0.35411865,1882.3842124548264,-0.18999855,-24.910496,0.14102818,0.21258378,0.2620774,0.0423226404671717,0.061089862,33.598713,0.1345758537828206,32.15429688741169,4.393301887248069,18.15950779626848,0.0271330102219203,0.025510602,0.08619636,0.0392495244307182,18.34342357734589,-0.0039607156,6.854778343454924,4.663485315475048,angry,a01.wav
223.17766755309225,10.8604355,833.2803160321796,112.22706,12.68002081964734,0.000992157,-267.05142,136.84968649407614,-0.0012728347,19.44274770518293,0.03859784,-4.884179,0.13315375,6.3441997,2.615785,-12.01501,4.516714890128939,0.021671493,1976.9812791207976,-0.055393633,-18.731644,-0.08434563,0.033043016,0.052366573,0.0347693101415094,0.005087327,22.426594,0.11136260434408,32.25604377187146,3.962467468870166,18.95063287471468,0.0216367981678398,-0.036270604,0.08766487,0.0303739224221456,18.43078329280108,-0.11727759,6.250772555305729,4.600056178818993,angry,a02.wav
189.70430286668736,5.0097237,856.3266514047392,133.80275,14.91474634029436,0.002564863,-184.91362,23.607278389538788,0.08918941,21.730219878827157,0.35485622,-8.799978,0.23722208,-6.372517,-2.5552998,-13.102499,6.347279344854013,1.5965968,2126.826153530157,2.129095,-33.106735,0.57441205,0.4762536,1.0162119,0.0590952280405405,0.29774424,27.560528,0.1145348367890868,30.24293384465337,6.138934054361052,17.27812714358507,0.0208111060838583,0.7082689,0.10462379,0.0367498416870023,20.58671000934012,0.19488417,6.52048243598514,5.652138483975252,angry,a03.wav
186.4402127500948,1.8370439,777.3314737921608,136.38512,14.425767794777702,0.0041573867,-180.6395,78.67029145218828,0.7284582,21.409751598882533,0.019689083,-7.374927,0.2236582,0.5929669,-3.865641,-34.267403,3.666259166066449,0.042988915,1936.9715724379196,-0.7421473,-34.382668,1.7037896,0.27331528,0.22580944,0.0751517159598214,0.23067954,13.918382,0.1139940190920988,29.43218724524155,4.490662308891454,17.611340070938585,0.0209562676434177,0.52867836,0.15501435,0.0484217953854031,19.75668743013088,-0.19205496,5.259524136464873,5.604638675313431,angry,a04.wav
194.84253354419403,-2.1949656,850.2690049215064,142.08011,14.797286619842202,0.0008349045,-185.26462,82.41529431195556,-0.17982222,25.89109499958511,0.100371964,-8.827157,0.2501538,7.273044,-5.3619747,-25.530798,6.010771430706394,0.6808831,1907.5899513036325,0.6223437,-41.45385,1.2237582,0.1523114,0.5042157,0.0508078835227272,-0.19994628,22.434223,0.0899128233864075,30.180203345475924,4.623353355700558,19.512991026038115,0.0247350602763494,0.007972616,0.13014506,0.0159006715765257,21.30093366638537,-0.18261535,6.6645952250952005,6.73731832470515,angry,a05.wav
263.0164824750459,4.484802,855.2464138087666,109.99832,12.472949528558605,0.002650287,-247.10703,131.86460894997558,-0.23742925,18.530489763331676,-0.037274778,-2.7985728,0.15182844,-4.5745783,0.87274015,-23.547281,4.352956587300969,-0.007843999,1940.813730753942,0.21558759,-17.202509,-0.27381802,0.20178948,-0.008574268,0.0393374544902912,0.004570269,22.3795,0.1120155226118718,31.84171818135069,4.167580968614373,18.003791933138796,0.0267880194882402,0.29900503,0.10348668,0.0269094718765999,17.4476311460309,0.12632988,6.166684590787244,4.767292591294711,angry,a06.wav
193.47685579369704,-0.15993993,751.783346279984,145.78766,16.121748875044485,0.0007168989,-146.06384,60.95680878478617,-0.036866535,23.22049784132209,-0.15363221,-12.117618,0.3099526,-19.402237,10.320497,-18.833122,4.995225717387287,0.98107004,1899.396618308191,0.30993557,-35.879017,0.70141697,0.42500448,0.51748675,0.0553792317708333,0.03024592,11.312073,0.098247236596905,29.81848522708386,4.118595648664442,19.568230108310026,0.0123515167648228,-0.14105976,0.110467,0.0205026852288636,24.58626163190416,-0.2829965,5.311896354581725,5.197609537841329,angry,a07.wav
220.1096599940266,-1.1677835,810.5086298716861,117.421196,15.53028828293289,0.005259724,-181.57143,67.33491297778907,-0.15035556,23.481545947075,0.19094372,-9.904131,0.28814906,-15.801378,-5.1919923,-28.548265,5.891362041677979,0.34929824,1853.343380707842,-0.05312767,-29.344887,0.8274005,-0.007697782,0.035517827,0.0694786658653846,-0.08635089,15.049963,0.0918459293408443,28.616091722189665,2.7177413330279503,17.54634616749349,0.0238366501288639,0.19683559,0.17767124,0.0425720014952951,20.237317612842755,0.34162217,7.525504318643361,4.871498623333614,angry,a08.wav
171.1109488418214,3.1930153,713.9453819442585,143.17908,13.988044125376414,0.0028646425,-234.30826,78.04439347802655,-0.18914637,22.85118496325553,-0.00079615816,-11.488372,0.15544312,9.529911,2.4226394,-32.289482,5.2520067014046345,0.5361419,1881.4115448784817,0.97952074,-29.701824,0.8999795,0.30625108,0.18754293,0.0554720417837078,0.03203116,30.127754,0.1185698441040924,29.674530169559088,3.8566453082703247,19.36642458321216,0.0270379911292736,-0.42379478,0.081030704,0.0477487583799842,17.96761326305948,-0.080563,6.572575113420512,4.735790447441243,angry,a09.wav
186.87642656795737,1.4434493,713.0398018230738,137.52933,14.908382296862722,0.004315611,-201.74962,63.9697300232105,0.058566634,22.94408672390164,0.15347038,-6.138227,0.22112128,-8.77723,-0.6679752,-32.031868,5.908946786018167,0.51660585,1777.4623966636866,0.42221373,-33.667904,0.52123094,3.244259e-05,0.048794452,0.0709816261574074,-0.06926065,23.126738,0.1033896049101694,29.64582105423756,3.75451922488952,18.6378917875486,0.0239217976069193,0.29348138,0.11166381,0.056513680554453,21.581482044350924,-0.0684848,5.834535404526884,4.367398681708111,angry,a10.wav
